#File=ironman-70.3-edinburgh-20170702.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-edinburgh-20170702.csv,1,Fraser Cartmell,35,Intl State,GBR,00:13:40,02:28:23,01:20:32,00:02:22,00:01:45,04:06:42
ironman-70.3-edinburgh-20170702.csv,2,Ruedi Wild,35,---,CHE,---,---,---,---,---,DNS
ironman-70.3-edinburgh-20170702.csv,3,David Mcnamee,29,APO,GBR,00:13:15,---,---,00:02:10,---,DNF
ironman-70.3-edinburgh-20170702.csv,4,Javier Gomez,34,---,ESP,---,---,---,---,---,DNS
ironman-70.3-edinburgh-20170702.csv,5,Harry Wiltshire,34,Intl State,GBR,00:13:08,02:29:16,---,00:02:05,00:01:41,DNF
ironman-70.3-edinburgh-20170702.csv,6,Stuart Hayes,38,---,GBR,00:13:14,02:28:52,---,00:02:26,00:01:38,DNF
ironman-70.3-edinburgh-20170702.csv,7,Richard Westover,30,---,GBR,00:17:23,02:37:55,01:26:09,00:02:43,00:02:17,04:26:27
ironman-70.3-edinburgh-20170702.csv,8,Lachlan Kerin,22,VIC,AUS,00:14:09,02:26:42,01:24:08,00:03:00,00:01:42,04:09:41
ironman-70.3-edinburgh-20170702.csv,9,Colin Norris,30,---,GBR,00:14:43,02:33:44,01:15:06,00:02:41,00:01:53,04:08:07
ironman-70.3-edinburgh-20170702.csv,10,Albert Moreno Molins,27,---,ESP,00:15:31,02:33:12,01:18:11,00:02:27,00:02:02,04:11:23
ironman-70.3-edinburgh-20170702.csv,11,Ritchie Nicholls,29,Derry,GBR,---,---,---,---,---,DNS
ironman-70.3-edinburgh-20170702.csv,12,Andrew Yoder,27,PA,USA,---,---,---,---,---,DNS
ironman-70.3-edinburgh-20170702.csv,13,Elliot Smales,22,---,GBR,00:13:08,02:29:13,01:18:08,00:02:03,00:02:03,04:04:35
ironman-70.3-edinburgh-20170702.csv,14,Chris Walker,27,Dorset,GBR,00:14:12,02:29:16,01:25:15,00:02:38,00:02:27,04:13:48
ironman-70.3-edinburgh-20170702.csv,15,Yvan Jarrige,28,---,FRA,00:13:46,02:28:34,01:16:50,00:02:14,00:01:34,04:02:58
ironman-70.3-edinburgh-20170702.csv,16,Alessandro De Gasperi,36,Intl State,ITA,00:14:13,02:27:41,01:16:08,00:02:27,00:01:46,04:02:15
