#File=ironman-70.3-peru-20170423.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-peru-20170423.csv,1,Andy Potts,40,CO,USA,00:23:21,02:03:59,01:14:43,00:01:31,00:01:19,03:44:53
ironman-70.3-peru-20170423.csv,2,Ivan Raña,37,---,ESP,00:23:30,02:16:02,01:19:15,00:01:26,00:01:15,04:01:28
ironman-70.3-peru-20170423.csv,4,Justin Daerr,36,CO,USA,00:24:51,02:11:27,01:18:52,00:01:55,00:01:31,03:58:36
ironman-70.3-peru-20170423.csv,5,Patrick Evoe,39,CO,USA,---,---,---,---,---,DNS
ironman-70.3-peru-20170423.csv,6,Stuart Hayes,38,---,GBR,00:23:25,02:14:15,02:20:35,00:01:27,00:01:38,05:01:20
ironman-70.3-peru-20170423.csv,7,Felipe Barraza,25,---,CHL,00:23:22,02:04:04,01:21:06,00:01:28,00:01:16,03:51:16
ironman-70.3-peru-20170423.csv,8,Aj Baucco,30,OH,USA,00:24:45,---,---,00:01:29,---,DNF
ironman-70.3-peru-20170423.csv,9,Alan Carrillo Avila,23,Intl State,MEX,00:27:00,02:12:07,01:18:45,00:01:31,00:01:27,04:00:50
ironman-70.3-peru-20170423.csv,10,Nicholas Chase,30,FL,USA,00:25:42,02:12:28,01:30:36,00:01:32,00:01:34,04:11:52
ironman-70.3-peru-20170423.csv,11,Alexander Chikin,25,---,RUS,00:27:17,02:11:55,01:21:25,00:02:01,00:01:40,04:04:18
ironman-70.3-peru-20170423.csv,12,Caio Ferreira,24,DF,BRA,00:27:11,02:11:58,01:30:04,00:02:06,00:01:45,04:13:04
ironman-70.3-peru-20170423.csv,13,Tim Hancock,34,FL,GBR,00:26:56,02:18:46,01:23:46,00:02:34,00:01:21,04:13:23
ironman-70.3-peru-20170423.csv,14,Nathan Killam,30,BC,CAN,00:25:45,02:05:48,01:20:32,00:01:42,00:01:18,03:55:05
ironman-70.3-peru-20170423.csv,17,Giovanny Marmol,34,Intl State,ECU,00:27:13,02:22:09,01:21:33,00:01:43,00:01:32,04:14:10
ironman-70.3-peru-20170423.csv,18,Roberto Rivera Cabrera,31,---,CHL,00:24:46,02:14:52,01:28:25,00:01:44,00:01:54,04:11:41
ironman-70.3-peru-20170423.csv,19,Raul Tejada,28,GTM,GTM,00:26:18,02:08:24,01:14:48,00:01:39,00:01:29,03:52:38
ironman-70.3-peru-20170423.csv,20,Fernando Toldi,30,Intl State,BRA,00:24:07,02:07:33,01:19:47,00:01:36,00:01:18,03:54:21
ironman-70.3-peru-20170423.csv,21,Felipe Van De Wyngard,35,---,CHL,00:23:24,02:03:57,01:18:33,00:01:33,00:01:20,03:48:47
ironman-70.3-peru-20170423.csv,22,Diego Vasquez,31,TUNGURAHUA,ECU,---,---,---,---,---,DNS
ironman-70.3-peru-20170423.csv,23,Jesse Thomas,37,OR,USA,00:24:41,02:02:28,01:14:00,00:02:34,00:01:38,03:45:21
ironman-70.3-peru-20170423.csv,24,David Guete,25,Bogota DC,COL,00:24:49,02:14:10,01:24:08,00:01:40,00:01:43,04:06:30
ironman-70.3-peru-20170423.csv,25,Alejandro Chavez,32,Distrito Capital,COL,00:26:59,02:36:12,01:31:54,00:01:42,00:01:19,04:38:06
ironman-70.3-peru-20170423.csv,26,Jorge Arias,36,Risaralda,COL,00:24:44,02:21:23,01:35:24,00:02:11,00:01:41,04:25:23
ironman-70.3-peru-20170423.csv,30,Leanda Cave,39,FL,GBR,00:26:13,02:23:46,01:28:12,00:01:59,00:01:51,04:22:01
ironman-70.3-peru-20170423.csv,31,Linsey Corbin,36,OR,USA,00:27:50,02:21:42,01:24:07,00:01:48,00:01:31,04:16:58
ironman-70.3-peru-20170423.csv,32,Liz Lyles,39,NV,USA,---,---,---,---,---,DNS
ironman-70.3-peru-20170423.csv,33,Heather Jackson,32,OR,USA,00:26:56,02:17:26,01:25:14,00:01:39,00:01:26,04:12:41
ironman-70.3-peru-20170423.csv,34,Ariane Monticeli,34,Intl State,BRA,---,---,---,---,---,DNS
ironman-70.3-peru-20170423.csv,35,Sarah Piampiano,36,CA,USA,00:30:55,02:16:48,01:24:39,00:01:48,00:01:28,04:15:38
