#File=ironman-70.3-santa-rosa-20170513.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-santa-rosa-20170513.csv,1,Andy Potts,40,CO,USA,00:23:35,02:11:25,01:15:15,00:03:12,00:01:42,03:55:09
ironman-70.3-santa-rosa-20170513.csv,2,Sam Appleton,27,CO,AUS,00:23:30,02:03:26,01:14:51,00:03:24,00:01:36,03:46:47
ironman-70.3-santa-rosa-20170513.csv,3,Tim O'Donnell,36,CO,USA,00:23:33,02:11:21,01:14:16,00:03:20,00:01:49,03:54:19
ironman-70.3-santa-rosa-20170513.csv,4,Joe Gambles,35,CO,AUS,00:23:57,02:06:39,01:14:47,00:03:22,00:01:47,03:50:32
ironman-70.3-santa-rosa-20170513.csv,5,Jordan Rapp,36,CA,USA,00:26:05,02:07:59,01:17:55,00:04:16,00:02:00,03:58:15
ironman-70.3-santa-rosa-20170513.csv,6,Kyle Buckingham,33,---,ZAF,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,7,Matt Lieto,39,OR,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,8,Jozsef Major,38,AZ,HUN,00:28:02,02:23:08,01:16:29,00:04:31,00:02:04,04:14:14
ironman-70.3-santa-rosa-20170513.csv,9,Fraser Cartmell,34,Intl State,GBR,00:23:58,02:11:53,01:22:23,00:03:27,00:02:00,04:03:41
ironman-70.3-santa-rosa-20170513.csv,10,Patrick Evoe,39,CO,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,11,Jarrod Shoemaker,34,FL,USA,00:23:38,02:27:32,01:14:09,00:04:14,00:02:14,04:11:47
ironman-70.3-santa-rosa-20170513.csv,12,Chris Bagg,37,OR,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,13,Chris Baird,28,CA,USA,00:27:47,---,---,00:05:25,---,DNF
ironman-70.3-santa-rosa-20170513.csv,14,Chris Berg,32,CA,AUS,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,15,Max Biessmann,32,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,16,James Cook,28,BC,CAN,00:25:43,02:19:07,01:22:22,00:03:58,00:01:48,04:12:58
ironman-70.3-santa-rosa-20170513.csv,17,Sam Corace,34,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,18,Scott Defilippis,37,CA,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,19,Justin Metzler,23,CO,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,20,Derek Garcia,32,ID,USA,00:25:39,02:08:37,01:18:26,00:03:52,00:01:32,03:58:06
ironman-70.3-santa-rosa-20170513.csv,21,Sam Holmes,29,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,22,Sean Jefferson,34,CA,USA,00:25:42,02:10:40,01:17:21,00:03:53,00:01:48,03:59:24
ironman-70.3-santa-rosa-20170513.csv,23,Nathan Killam,30,BC,CAN,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,24,David Lacombe,31,QC,CAN,00:30:48,02:19:34,01:20:52,00:03:49,00:01:46,04:16:49
ironman-70.3-santa-rosa-20170513.csv,25,Alex Libin,26,Colorado,USA,00:25:45,02:10:34,01:14:59,00:03:53,00:01:46,03:56:57
ironman-70.3-santa-rosa-20170513.csv,26,Sam Long,21,CO,USA,00:27:48,02:12:06,01:16:36,00:03:26,00:01:36,04:01:32
ironman-70.3-santa-rosa-20170513.csv,27,Danilo Melo,26,São Paulo,BRA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,28,Jesse Moore,43,CA,USA,00:31:08,02:11:58,01:22:05,00:04:31,00:01:48,04:11:30
ironman-70.3-santa-rosa-20170513.csv,29,Jason Pedersen,29,CA,USA,00:25:49,02:09:00,01:19:07,00:04:21,00:01:36,03:59:53
ironman-70.3-santa-rosa-20170513.csv,30,Alexander Romanenko,21,CA,USA,00:23:59,02:14:04,01:40:02,00:04:00,00:01:55,04:24:00
ironman-70.3-santa-rosa-20170513.csv,31,Justin Rossi,36,NV,USA,00:24:52,02:05:43,01:33:04,00:04:24,00:02:00,04:10:03
ironman-70.3-santa-rosa-20170513.csv,32,Jose Pablo Salazar Ezquerra,23,---,CHL,00:25:43,02:18:45,01:22:51,00:03:51,00:02:03,04:13:13
ironman-70.3-santa-rosa-20170513.csv,33,Mikael Staer Nathan,30,ON,DNK,00:26:02,02:15:28,01:21:10,00:03:43,00:01:36,04:07:59
ironman-70.3-santa-rosa-20170513.csv,34,Josh Terwoord,33,CO,USA,00:31:24,02:20:36,01:18:14,00:04:11,00:01:57,04:16:22
ironman-70.3-santa-rosa-20170513.csv,35,Jesse Vondracek,35,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,41,Holly Lawrence,27,CA,GBR,00:24:38,02:18:08,01:25:17,00:03:23,00:01:54,04:13:20
ironman-70.3-santa-rosa-20170513.csv,42,Heather Jackson,33,OR,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,43,Sarah Piampiano,36,CA,USA,00:30:51,02:21:36,01:19:45,00:04:19,00:01:41,04:18:12
ironman-70.3-santa-rosa-20170513.csv,44,Jennifer Spieldenner,30,OH,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,45,Carrie Lester,36,QLD,AUS,00:26:52,02:22:20,01:28:36,00:04:16,00:02:27,04:24:31
ironman-70.3-santa-rosa-20170513.csv,46,Jocelyn Mccauley,29,OH,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,47,Sarah Bay,38,CO,USA,---,---,---,---,---,DNS
ironman-70.3-santa-rosa-20170513.csv,48,Christen Brown,33,CO,USA,00:28:25,02:31:33,01:27:00,00:05:21,00:02:05,04:34:24
ironman-70.3-santa-rosa-20170513.csv,49,Sarah Cameto,36,CA,USA,00:27:05,02:25:32,01:31:39,00:06:35,00:02:01,04:32:52
ironman-70.3-santa-rosa-20170513.csv,50,Christine Cross,29,HI,USA,00:28:03,02:27:35,01:28:51,00:04:59,00:02:11,04:31:39
ironman-70.3-santa-rosa-20170513.csv,51,Erin Crum,38,ID,USA,00:30:49,02:35:11,01:34:03,00:04:51,00:02:33,04:47:27
ironman-70.3-santa-rosa-20170513.csv,52,Kaitlin Curbeau,31,MA,USA,00:26:59,02:35:01,01:31:56,00:04:58,00:02:10,04:41:04
ironman-70.3-santa-rosa-20170513.csv,53,Cecilia Davis-Hayes,27,NY,USA,---,---,---,---,---,DNS
