#File=ironman-fortaleza-20141109.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-fortaleza-20141109.csv,2,Ana Borba,30,Intl State,BRA,01:03:33,05:34:42,04:01:57,00:01:28,00:02:50,10:44:30
ironman-fortaleza-20141109.csv,3,Vanessa Gianinni,32,São Paulo,BRA,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,4,Mariana Borges De Andrade,27,SC,BRA,01:06:38,05:20:05,03:46:30,00:03:15,00:01:28,10:17:56
ironman-fortaleza-20141109.csv,5,Caroline Gregory,35,OR,USA,00:53:46,05:25:42,03:44:06,00:01:43,00:01:31,10:06:48
ironman-fortaleza-20141109.csv,6,Ariane Monticeli,32,Intl State,BRA,01:12:19,05:11:21,03:14:00,00:02:26,00:01:49,09:41:55
ironman-fortaleza-20141109.csv,7,Mette Pettersen Moe,35,---,NOR,00:57:44,05:06:48,03:50:23,00:01:43,00:02:13,09:58:51
ironman-fortaleza-20141109.csv,8,Haley Chura,29,MT,USA,00:51:52,04:57:46,03:15:59,00:02:00,00:01:43,09:09:20
ironman-fortaleza-20141109.csv,9,Jessica Donavan,38,VT,USA,01:17:06,04:59:35,03:31:15,00:01:56,00:01:41,09:51:33
ironman-fortaleza-20141109.csv,10,Hillary Biscay,36,AZ,USA,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,11,Leanda Cave,36,FL,USA,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,12,Nicole Woysch,37,---,DEU,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,13,Erika Csomor,41,---,HUN,01:13:57,05:53:16,---,00:01:50,---,DNF
ironman-fortaleza-20141109.csv,14,Camilla Lindholm Borg,39,---,SWE,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,21,Alexandre Moura,35,Rio de Janeiro,BRA,01:23:04,06:20:23,---,00:03:01,00:07:37,DNF
ironman-fortaleza-20141109.csv,23,Raphael Menezes,30,---,BRA,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,24,Andress Felipe Castillo Latorre,32,---,COL,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,25,Patrick Jaberg,34,---,CHE,00:57:52,04:39:15,03:18:28,00:01:51,00:02:31,08:59:57
ironman-fortaleza-20141109.csv,26,Luiz Francisco Paiva Ferreira,32,Intl State,BRA,00:49:47,04:46:38,04:02:08,00:01:52,00:02:17,09:42:42
ironman-fortaleza-20141109.csv,27,Balazs Csoke,31,TX,HUN,00:49:49,04:39:03,03:29:34,00:01:30,00:02:15,09:02:11
ironman-fortaleza-20141109.csv,28,Felipe Manente,26,Intl State,BRA,00:57:54,04:51:02,---,00:02:17,00:02:29,DNF
ironman-fortaleza-20141109.csv,29,Raul Furtado,35,Intl State,BRA,00:57:46,04:40:32,03:30:45,00:02:11,00:02:22,09:13:36
ironman-fortaleza-20141109.csv,31,Blake Becker,33,WI,USA,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,32,Thiago Vinhal,31,Intl State,BRA,00:51:58,04:56:47,02:58:18,00:02:48,00:03:03,08:52:54
ironman-fortaleza-20141109.csv,33,Jordan Bryden,27,AB,CAN,00:57:35,05:08:43,03:56:42,00:03:31,00:05:05,10:11:36
ironman-fortaleza-20141109.csv,34,Brandon Marsh,39,TX,USA,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,35,Petr Vabrousek,41,Intl State,CZE,01:01:10,04:49:04,03:39:48,00:02:51,00:03:53,09:36:46
ironman-fortaleza-20141109.csv,36,Stefan Schmid,27,---,DEU,00:57:50,04:36:34,03:17:16,00:01:57,00:04:31,08:58:08
ironman-fortaleza-20141109.csv,37,Henrik Oftedal,38,---,NOR,---,---,---,---,---,DNS
ironman-fortaleza-20141109.csv,38,Frank Silvestrin Souza,32,Intl State,BRA,00:52:15,04:44:30,03:17:31,00:01:37,00:03:01,08:58:54
ironman-fortaleza-20141109.csv,39,Bryan Rhodes,41,CAN,HUN,00:51:46,04:32:47,03:35:39,00:01:34,00:01:38,09:03:24
ironman-fortaleza-20141109.csv,40,Guilherme Manocchio,32,Intl State,BRA,00:52:20,04:32:09,03:02:22,00:01:33,00:01:51,08:30:15
ironman-fortaleza-20141109.csv,41,Eneko Llanos,---,---,ESP,00:51:56,04:27:09,03:09:07,00:02:07,00:01:43,08:32:02
ironman-fortaleza-20141109.csv,42,Ivan Risti,34,Intl State,ITA,00:51:42,04:56:48,03:08:31,00:02:32,00:01:52,09:01:25
ironman-fortaleza-20141109.csv,44,Fabio Carvalho,---,---,BRA,00:50:11,05:16:30,04:12:59,00:01:41,00:02:55,10:24:16
