#File=ironman-new-zealand-20050305.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-new-zealand-20050305.csv,1,Cameron Brown,44,NZ,NZL,00:46:23,04:40:46,02:48:27,00:03:23,00:01:12,08:20:14
ironman-new-zealand-20050305.csv,2,Clas Björling,38,---,SWE,00:54:37,04:48:14,04:59:43,00:03:09,00:01:39,10:47:24
ironman-new-zealand-20050305.csv,3,Bjorn Andersson,37,---,SWE,00:46:21,04:48:31,05:02:15,00:03:30,00:06:47,10:47:25
ironman-new-zealand-20050305.csv,4,Gordo Byrn,---,---,NZL,00:50:11,04:52:31,02:52:28,00:03:22,00:01:17,08:39:51
ironman-new-zealand-20050305.csv,5,Greg Fraine,---,---,NZL,00:51:38,05:08:19,03:03:25,00:03:46,00:00:56,09:08:06
ironman-new-zealand-20050305.csv,6,Chris Mcdonald,38,CO,NZL,00:52:37,04:49:55,02:59:37,00:03:27,00:01:06,08:46:44
ironman-new-zealand-20050305.csv,7,Oliver Piggin,---,---,NZL,00:54:19,05:05:11,03:05:08,00:04:15,00:00:52,09:09:47
ironman-new-zealand-20050305.csv,8,Kenneth Glah,53,PA,USA,00:50:22,05:05:43,07:03:52,00:03:45,00:02:42,13:06:25
ironman-new-zealand-20050305.csv,9,Brent Lorenzen,44,AZ,USA,00:49:35,04:52:45,03:07:52,00:03:41,00:01:04,08:54:59
ironman-new-zealand-20050305.csv,10,Stephen Sheldrake,43,Gisborne,NZL,00:46:16,04:41:54,03:25:30,00:03:16,00:01:31,08:58:29
ironman-new-zealand-20050305.csv,11,Joanna Lawn,---,---,NZL,00:51:37,05:14:51,03:19:12,00:03:34,00:00:58,09:30:13
ironman-new-zealand-20050305.csv,12,Bella Comerford,38,---,GBR,00:53:08,05:31:17,---,00:04:01,00:01:14,DNF
ironman-new-zealand-20050305.csv,14,Yoko Hori,48,---,NZL,01:00:29,05:30:45,05:28:48,00:04:26,00:02:20,12:06:51
ironman-new-zealand-20050305.csv,15,Monica Caplan,40,---,USA,00:46:30,05:25:15,03:29:15,00:03:51,00:01:13,09:46:06
ironman-new-zealand-20050305.csv,16,Jess Draskau Petersson,---,---,GBR,01:10:19,05:31:47,03:12:04,00:05:29,00:01:04,10:00:45
ironman-new-zealand-20050305.csv,18,Naomi Imaizumi,33,---,JPN,00:56:08,05:34:27,03:48:12,00:03:52,00:01:00,10:23:42
ironman-new-zealand-20050305.csv,19,Andrea Ratkovic,50,OK,USA,01:03:09,05:30:17,06:28:45,00:05:09,00:01:39,13:09:02
ironman-new-zealand-20050305.csv,20,Paula Salazar,46,---,CHN,00:58:19,06:07:39,03:50:01,00:04:17,00:03:08,11:03:26
ironman-new-zealand-20050305.csv,21,Clive Asplen,40,VIC,NZL,00:54:25,---,---,00:03:46,---,DNF
ironman-new-zealand-20050305.csv,22,Jeremy Boyd,---,---,NZL,00:53:05,05:23:53,03:22:37,00:05:28,00:05:17,09:50:21
ironman-new-zealand-20050305.csv,23,Agustin Fontes,41,---,VEN,00:50:08,05:11:57,03:14:20,00:03:47,00:01:08,09:21:21
ironman-new-zealand-20050305.csv,24,Brent Foster,49,Auckland,NZL,00:45:02,---,---,00:03:35,---,DNF
ironman-new-zealand-20050305.csv,25,Darren Franken,47,VIC,AUS,00:54:17,05:00:20,03:09:25,00:03:53,00:01:07,09:09:05
ironman-new-zealand-20050305.csv,26,Mark Fulford,46,---,NZL,00:56:37,---,---,00:04:43,---,DNF
ironman-new-zealand-20050305.csv,27,Shigenobu Ikegata,42,---,JPN,00:50:15,04:53:40,03:26:04,00:03:42,00:01:19,09:15:02
ironman-new-zealand-20050305.csv,28,Makoto Imaeda,43,aichi,JPN,00:51:28,05:13:32,---,00:03:49,00:01:29,DNF
ironman-new-zealand-20050305.csv,29,Terence Kerrigan,---,NY,USA,00:56:49,05:10:51,03:22:39,00:05:12,00:01:53,09:37:26
