#File=ironman-wisconsin-20150913.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-wisconsin-20150913.csv,1,Rudy Kahsar,27,DC,USA,00:50:43,04:56:30,03:14:46,00:04:13,00:02:27,09:08:39
ironman-wisconsin-20150913.csv,2,Thomas Gerlach,34,FL,USA,00:54:49,04:43:16,03:15:38,00:04:05,00:02:11,08:59:59
ironman-wisconsin-20150913.csv,11,Susan Katz,36,IL,USA,01:51:53,---,---,00:09:06,---,DNF
ironman-wisconsin-20150913.csv,12,David Kuhn,63,IL,USA,01:57:30,---,---,00:27:10,---,DNF
ironman-wisconsin-20150913.csv,13,Kelly Griego,36,WI,USA,01:57:29,---,---,00:27:10,---,DNF
ironman-wisconsin-20150913.csv,14,Rachel Weeks,32,SC,USA,01:52:46,08:04:51,06:12:16,00:14:13,00:11:54,16:36:00
ironman-wisconsin-20150913.csv,15,Caroline Gaynor,31,NC,USA,01:52:46,08:04:51,06:12:15,00:14:13,00:11:54,16:35:59
ironman-wisconsin-20150913.csv,16,Halden Markusen,---,---,USA,01:30:21,08:38:24,05:12:40,00:15:18,00:11:03,15:47:46
ironman-wisconsin-20150913.csv,17,Nick Anderson,25,WI,USA,01:29:31,08:38:37,05:12:39,00:16:07,00:10:51,15:47:45
ironman-wisconsin-20150913.csv,18,Darrin Albrecht,44,WI,USA,01:10:13,08:32:57,05:27:47,00:16:45,00:11:37,15:39:19
ironman-wisconsin-20150913.csv,19,Patrick Vanderwerf,46,WI,USA,---,08:32:57,05:27:49,01:26:57,00:11:39,15:39:22
ironman-wisconsin-20150913.csv,20,Dave Lyon,53,WI,USA,---,---,---,---,---,DNS
ironman-wisconsin-20150913.csv,21,Kevin Cornell,46,WI,USA,---,---,---,---,---,DNS
ironman-wisconsin-20150913.csv,25,Vinicius Canhedo,31,FL,USA,00:55:30,05:29:55,---,00:05:06,00:02:57,DNF
ironman-wisconsin-20150913.csv,26,Dan Wells,31,WI,USA,01:37:05,07:26:14,06:30:35,00:11:21,00:11:25,15:56:40
ironman-wisconsin-20150913.csv,27,Curtis Whittaker,34,WI,USA,01:19:43,07:22:45,05:42:34,00:16:04,00:10:33,14:51:39
ironman-wisconsin-20150913.csv,28,Cedrick Dujon,40,NY,USA,01:15:15,06:11:34,05:58:15,00:10:16,00:06:22,13:41:42
ironman-wisconsin-20150913.csv,29,John Crowder,28,IL,USA,01:05:44,07:07:45,04:37:39,00:08:22,00:09:47,13:09:17
ironman-wisconsin-20150913.csv,30,Joseph Pausma,27,WI,USA,01:24:20,07:26:14,06:28:55,00:24:10,00:13:00,15:56:39
ironman-wisconsin-20150913.csv,31,Eric Braun,31,ND,USA,01:22:29,---,---,00:14:58,---,DNF
ironman-wisconsin-20150913.csv,32,Max Zitzner,27,WI,USA,01:12:38,05:49:30,04:04:56,00:10:01,00:06:44,11:23:49
ironman-wisconsin-20150913.csv,33,Matt Anderson,43,WI,USA,01:18:29,07:58:41,05:51:00,00:12:51,00:07:03,15:28:04
ironman-wisconsin-20150913.csv,36,Erica Ziemer,44,WA,USA,01:10:44,05:54:12,04:22:28,00:07:22,00:05:07,11:39:53
ironman-wisconsin-20150913.csv,37,Fiona Siemelink,49,Other,ZAF,01:28:48,06:14:38,04:19:15,00:10:06,00:05:35,12:18:22
ironman-wisconsin-20150913.csv,38,Bob Larue,31,IL,USA,01:08:50,05:11:33,03:06:22,00:05:58,00:02:16,09:34:59
ironman-wisconsin-20150913.csv,39,Karl Poehls,34,CO,USA,01:10:40,05:30:56,03:44:35,00:09:34,00:04:52,10:40:37
ironman-wisconsin-20150913.csv,40,Michael Breyer,42,CO,USA,01:10:24,04:54:24,03:46:31,00:08:28,00:04:23,10:04:10
ironman-wisconsin-20150913.csv,41,Stephen Lynchh,48,IL,USA,01:07:56,05:34:02,03:54:35,00:06:18,00:04:16,10:47:07
ironman-wisconsin-20150913.csv,42,Joel Spalding,45,IL,USA,01:21:47,05:04:41,03:54:47,00:08:38,00:03:54,10:33:47
ironman-wisconsin-20150913.csv,43,Chuck Donnelly,54,NV,USA,01:14:57,05:37:53,04:26:45,00:06:46,00:05:01,11:31:22
ironman-wisconsin-20150913.csv,44,Heather Glynn,36,IL,USA,01:10:23,06:04:51,04:55:27,00:06:16,00:02:30,12:19:27
ironman-wisconsin-20150913.csv,45,Andy Nesheim,34,WI,USA,01:01:23,---,---,00:06:07,---,DNF
ironman-wisconsin-20150913.csv,46,Edward Schmitt,30,WI,USA,01:01:25,05:05:37,03:11:35,00:06:24,00:01:56,09:26:57
ironman-wisconsin-20150913.csv,47,Peter Viscardo,38,PA,USA,---,---,---,---,---,DNS
ironman-wisconsin-20150913.csv,48,Ken Boyett,48,OK,USA,01:24:23,06:20:25,05:18:29,00:07:43,00:04:33,13:15:33
ironman-wisconsin-20150913.csv,49,Luis Alvarez,53,Tlalpan,MEX,01:13:00,06:39:39,05:29:43,00:12:50,00:17:28,13:52:40
ironman-wisconsin-20150913.csv,50,Stephen Mackey,55,WI,USA,01:12:10,06:14:15,05:06:41,00:13:14,00:07:16,12:53:36
ironman-wisconsin-20150913.csv,51,Clare Zecher,41,CT,USA,01:12:09,06:17:52,04:34:31,00:08:16,00:02:52,12:15:40
ironman-wisconsin-20150913.csv,52,Scott Arnold,33,IN,USA,01:21:45,06:02:51,03:58:49,00:09:10,00:03:59,11:36:34
ironman-wisconsin-20150913.csv,53,Rafael Garcia,32,D.F,MEX,01:10:21,06:29:52,05:51:53,00:07:55,00:05:38,13:45:39
ironman-wisconsin-20150913.csv,54,Damon Gowdy,37,IL,USA,01:11:19,05:25:21,04:06:21,00:09:02,00:03:12,10:55:15
ironman-wisconsin-20150913.csv,55,Chris Galuppo,40,CA,USA,01:41:40,07:05:40,05:50:54,00:11:31,00:11:39,15:01:24
ironman-wisconsin-20150913.csv,56,Jason Mcdaniels,41,IN,USA,01:21:29,06:21:58,04:07:15,00:12:57,00:06:27,12:10:06
ironman-wisconsin-20150913.csv,57,Scott Tallis,43,NSW,AUS,01:09:58,06:05:17,05:11:17,00:07:53,00:03:37,12:38:02
ironman-wisconsin-20150913.csv,58,Laura Westfall,24,WI,USA,00:56:04,07:34:45,04:42:50,00:07:19,00:05:00,13:25:58
ironman-wisconsin-20150913.csv,59,Angela Czaja,26,NC,USA,01:49:07,07:58:31,06:10:36,00:18:34,00:11:13,16:28:01
ironman-wisconsin-20150913.csv,60,Dee Gulis,29,MN,USA,01:48:02,07:41:25,05:19:41,00:14:13,00:11:30,15:14:51
ironman-wisconsin-20150913.csv,61,Sarah Allen,32,WI,USA,01:00:44,06:39:02,06:06:41,00:08:41,00:05:12,14:00:20
ironman-wisconsin-20150913.csv,62,Laura Aykroyd,33,IN,USA,01:10:17,05:41:45,03:35:41,00:06:43,00:02:51,10:37:17
ironman-wisconsin-20150913.csv,63,Susan Cosgrove,30,PA,USA,01:20:46,08:15:18,06:01:41,00:15:34,00:13:56,16:07:15
ironman-wisconsin-20150913.csv,64,Lindsey Miller,33,IL,USA,01:23:04,07:01:27,05:21:53,00:11:54,00:06:41,14:04:59
ironman-wisconsin-20150913.csv,65,Kelly O'Mara,30,CA,USA,01:00:01,05:42:02,03:32:01,00:05:19,00:02:34,10:21:57
ironman-wisconsin-20150913.csv,66,Ashley Puls,31,OR,USA,01:09:24,07:27:44,04:51:43,00:11:25,00:07:13,13:47:29
ironman-wisconsin-20150913.csv,67,Dena Vidlock,33,WI,USA,01:37:08,07:53:09,06:21:19,00:13:21,00:07:51,16:12:48
ironman-wisconsin-20150913.csv,68,Rebecca Whittington,33,SC,USA,01:11:55,06:39:04,04:50:38,00:10:41,00:04:17,12:56:35
ironman-wisconsin-20150913.csv,69,Sarah Davis,38,MN,USA,01:14:59,07:09:37,05:02:59,00:10:01,00:07:14,13:44:50
ironman-wisconsin-20150913.csv,70,Jennifer Klestinski,38,WI,USA,01:24:19,06:42:31,04:04:55,00:11:57,00:04:41,12:28:23
ironman-wisconsin-20150913.csv,71,Sarah Mccormick,36,NY,USA,---,---,---,---,---,DNS
ironman-wisconsin-20150913.csv,72,Sara Nichols,39,IA,USA,01:18:04,07:19:00,05:40:53,00:20:41,00:13:39,14:52:17
ironman-wisconsin-20150913.csv,73,Jackie Connell,42,WI,USA,01:25:30,07:08:06,04:38:42,00:13:38,00:08:08,13:34:04
ironman-wisconsin-20150913.csv,74,Jennifer Cramsie,43,NC,USA,01:25:33,06:59:37,04:40:08,00:13:03,00:07:20,13:25:41
ironman-wisconsin-20150913.csv,75,Tiffany Grosspietsch,43,WI,USA,01:05:12,06:28:15,04:32:14,00:10:50,00:07:34,12:24:05
ironman-wisconsin-20150913.csv,76,Ashley Schmieg,41,IA,USA,01:24:20,---,---,00:15:28,---,DNF
ironman-wisconsin-20150913.csv,77,Ellen Stallings,40,NC,USA,---,---,---,---,---,DNS
